id,op,ARM_PMU_CPU_CYCLES,ARM_PMU_INST_RETIRED,ARM_PMU_STALL_FRONTEND,ARM_PMU_STALL_BACKEND,cycles,overflow,macs,ops,cycles_per_mac
0,CONV_2D:0,313591.6666666667,253545.0,330.6666666666667,38952.333333333336,313591.6666666667,False,0,8000,
1,DEPTHWISE_CONV_2D:1,207781.0,156104.0,3896.0,41320.0,207781.0,False,0,8000,
2,CONV_2D:2,201129.0,162237.0,50.0,24707.0,201129.0,False,0,8000,
3,DEPTHWISE_CONV_2D:3,207782.0,156104.0,3896.0,41321.0,207782.0,False,0,8000,
4,CONV_2D:4,201129.0,162237.0,50.0,24707.0,201129.0,False,0,8000,
5,DEPTHWISE_CONV_2D:5,207781.0,156104.0,3896.0,41320.0,207781.0,False,0,8000,
6,CONV_2D:6,201129.0,162237.0,50.0,24707.0,201129.0,False,0,8000,
7,DEPTHWISE_CONV_2D:7,207781.0,156104.0,3896.0,41320.0,207781.0,False,0,8000,
8,CONV_2D:8,201129.0,162237.0,49.0,24708.0,201129.0,False,0,8000,
9,AVERAGE_POOL_2D:9,13157.0,8345.0,3.0,4431.0,13157.0,False,0,64,
10,RESHAPE:10,82.0,60.0,1.0,5.0,82.0,False,0,64,
11,FULLY_CONNECTED:11,563.3333333333334,465.0,2.6666666666666665,64.0,563.3333333333334,False,0,12,
12,SOFTMAX:12,2466.0,1649.0,13.0,497.0,2466.0,False,0,12,
