id,op,ARM_PMU_CPU_CYCLES,ARM_PMU_INST_RETIRED,ARM_PMU_STALL_FRONTEND,ARM_PMU_STALL_BACKEND,cycles,overflow,macs,ops,cycles_per_mac
0,CONV_2D:0,292064.6666666667,255656.0,1143.0,36428.0,292064.6666666667,False,0,8000,
1,DEPTHWISE_CONV_2D:1,195597.0,143237.0,4950.0,45364.0,195597.0,False,0,8000,
2,CONV_2D:2,194676.0,167979.0,5.0,20689.0,194676.0,False,0,8000,
3,DEPTHWISE_CONV_2D:3,195855.0,143237.0,4950.0,45622.0,195855.0,False,0,8000,
4,CONV_2D:4,194678.0,167979.0,5.0,20691.0,194678.0,False,0,8000,
5,DEPTHWISE_CONV_2D:5,195853.0,143237.0,4950.0,45620.0,195853.0,False,0,8000,
6,CONV_2D:6,194675.0,167979.0,4.0,20689.0,194675.0,False,0,8000,
7,DEPTHWISE_CONV_2D:7,195597.0,143237.0,4950.0,45364.0,195597.0,False,0,8000,
8,CONV_2D:8,194677.0,167979.0,4.0,20691.0,194677.0,False,0,8000,
9,AVERAGE_POOL_2D:9,13408.0,8407.0,4.0,4885.0,13408.0,False,0,64,
10,RESHAPE:10,84.0,71.0,4.0,5.0,84.0,False,0,64,
11,FULLY_CONNECTED:11,520.0,422.0,4.0,61.0,520.0,False,0,12,
12,SOFTMAX:12,1525.0,1254.0,4.0,202.0,1525.0,False,0,12,
