id,op,ARM_PMU_CPU_CYCLES,ARM_PMU_INST_RETIRED,ARM_PMU_STALL_FRONTEND,ARM_PMU_STALL_BACKEND,cycles,overflow,macs,ops,cycles_per_mac
0,CONV_2D:0,313795.6666666667,253653.0,355.0,38971.333333333336,313795.6666666667,False,0,8000,
1,DEPTHWISE_CONV_2D:1,207919.0,156176.0,3905.3333333333335,41338.0,207919.0,False,0,8000,
2,CONV_2D:2,201274.0,162310.0,58.0,24725.0,201274.0,False,0,8000,
3,DEPTHWISE_CONV_2D:3,207920.0,156176.0,3905.0,41339.0,207920.0,False,0,8000,
4,CONV_2D:4,201274.0,162310.0,58.0,24725.0,201274.0,False,0,8000,
5,DEPTHWISE_CONV_2D:5,207919.0,156176.0,3905.0,41338.0,207919.0,False,0,8000,
6,CONV_2D:6,201274.0,162310.0,58.0,24725.0,201274.0,False,0,8000,
7,DEPTHWISE_CONV_2D:7,207919.0,156176.0,3905.0,41338.0,207919.0,False,0,8000,
8,CONV_2D:8,201274.0,162310.0,57.0,24726.0,201274.0,False,0,8000,
9,AVERAGE_POOL_2D:9,13157.0,8345.0,3.0,4431.0,13157.0,False,0,64,
10,RESHAPE:10,82.0,60.0,1.0,5.0,82.0,False,0,64,
11,FULLY_CONNECTED:11,563.0,465.0,2.0,64.0,563.0,False,0,12,
12,SOFTMAX:12,2465.3333333333335,1649.0,12.666666666666666,497.0,2465.3333333333335,False,0,12,
