id,op,ARM_PMU_CPU_CYCLES,ARM_PMU_INST_RETIRED,ARM_PMU_STALL_FRONTEND,ARM_PMU_STALL_BACKEND,ARM_PMU_MEM_ACCESS,ARM_PMU_L1D_CACHE_REFILL,ARM_PMU_BUS_ACCESS,ARM_PMU_BUS_CYCLES,cycles,overflow,macs,ops,cycles_per_mac
0,CONV_2D,292595.6666666667,255912.0,1293.3333333333333,36451.0,169722.0,0.0,10.666666666666666,292462.6666666667,292595.6666666667,False,0,8000,
1,DEPTHWISE_CONV_2D,196188.0,143625.0,5013.333333333333,45394.0,106105.0,0.0,0.0,196139.0,196188.0,False,0,8000,
2,CONV_2D,195051.0,168240.0,10.0,20712.0,206094.0,0.0,0.0,195051.0,195051.0,False,0,8000,
3,DEPTHWISE_CONV_2D,196139.0,143625.0,4965.0,45394.0,106105.0,0.0,0.0,196139.0,196139.0,False,0,8000,
4,CONV_2D,195054.0,168240.0,10.0,20715.0,206094.0,0.0,0.0,195054.0,195054.0,False,0,8000,
5,DEPTHWISE_CONV_2D,196150.33333333334,143625.0,4965.0,45405.333333333336,106105.0,0.0,0.0,196139.0,196150.33333333334,False,0,8000,
6,CONV_2D,195109.33333333334,168240.0,10.0,20770.333333333332,206094.0,0.0,0.0,195052.0,195109.33333333334,False,0,8000,
7,DEPTHWISE_CONV_2D,196139.0,143625.0,4965.0,45394.0,106105.0,0.0,0.0,196139.0,196139.0,False,0,8000,
8,CONV_2D,195053.0,168240.0,10.0,20714.0,206094.0,0.0,0.0,195053.0,195053.0,False,0,8000,
9,AVERAGE_POOL_2D,13678.0,8598.0,11.0,4902.0,2368.0,0.0,0.0,13678.0,13678.0,False,0,64,
10,RESHAPE,303.3333333333333,212.0,4.666666666666667,19.0,127.0,0.0,0.0,303.0,303.3333333333333,False,0,64,
11,FULLY_CONNECTED,1149.0,692.0,258.0,77.66666666666667,702.0,0.0,10.666666666666666,1002.3333333333334,1149.0,False,0,12,
12,SOFTMAX,1819.3333333333333,1341.0,143.0,220.0,839.0,0.0,6.666666666666667,1749.0,1819.3333333333333,False,0,12,
